1949,1081
1950,1669
1951,1688
1953,1570
1955,1459
1956,957
1957,1329
1958,1050
1959,1527
1960,1372
1961,1440
1962,1421
1963,1248
1965,981
1966,696
1967,1223
1968,1093
1969,820
1970,523
1971,504
1971,566
1972,1583
1973,2320
1974,2178
1975,1979
1976,1992
1977,1322
1978,1415
1979,1174
1980,1180
1981,1019
1982,957
1983,1533
1984,1744
1986,1267
1987,1155
1989,1738
1990,2029
1991,2215
1992,2140
1993,2407
1994,2258
1995,1992
1996,1366
1997,1508
1998,1483
2000,1409
2001,1006
2002,1130
2003,1155
2004,913
2005,957
2006,628
2007,678
2008,1267
2009,1211
2010,566
2011,610
2012,963
2013,833
2014,1514
2015,2048
2016,1850
2017,2209
2018,2000
2019,1400
2020,1500
2021,800
2022,1600
2023,800
2024,600
2025,600
